EXP,TRIAL_TYPE,TEXT,COLOR,WAIT,RESPTIME,RT,TRUE_KEY,ANSWER,CORR
training,neutral,HHHHH,#8b4513,1,4,2.0216700314449554,m,m,True
training,neutral,HHHHH,#8b4513,1,4,0.6333778585249092,m,m,True
training,neutral,HHHHH,green,1,4,0.9834250830226665,n,x,False
training,neutral,HHHHH,red,1,4,1.0166599050371588,x,x,True
training,neutral,HHHHH,#8b4513,1,4,0.7834154617321474,m,m,True
training,neutral,HHHHH,#8b4513,1,4,0.9167601268090948,m,m,True
training,neutral,HHHHH,#8b4513,1,4,0.7000543602880498,m,m,True
training,neutral,HHHHH,#8b4513,1,4,0.4833992658968782,m,m,True
training,neutral,HHHHH,#8b4513,1,4,0.4668022199512052,m,m,True
training,neutral,HHHHH,#8b4513,1,4,0.46676565905181633,m,m,True
training,neutral,HHHHH,blue,1,4,0.9549197664582607,z,z,True
training,neutral,HHHHH,red,1,4,0.7667257306966349,x,x,True
training,neutral,HHHHH,green,1,4,0.9832252809028432,n,n,True
training,neutral,HHHHH,green,1,4,0.7667468975341762,n,n,True
training,neutral,HHHHH,#8b4513,1,4,0.6500836250452267,m,m,True
training,neutral,HHHHH,#8b4513,1,4,0.6168872881917196,m,m,True
training,neutral,HHHHH,green,1,4,0.9000267792562227,n,n,True
training,neutral,HHHHH,#8b4513,1,4,0.5999214261319139,m,m,True
training,neutral,HHHHH,blue,1,4,1.1000309484843456,z,z,True
training,neutral,HHHHH,red,1,4,0.6834076043469395,x,x,True
training,neutral,HHHHH,#8b4513,1,4,0.7502646656521392,m,m,True
training,neutral,HHHHH,green,1,4,1.2999783520972414,n,n,True
training,neutral,HHHHH,red,1,4,0.9000550017080968,x,x,True
training,neutral,HHHHH,red,1,4,0.7667430490200786,x,x,True
training,neutral,HHHHH,blue,1,4,0.888237812630905,z,z,True
training,neutral,HHHHH,green,1,4,1.3333395337194816,n,n,True
training,neutral,HHHHH,red,1,4,0.7168515290632058,x,x,True
training,neutral,HHHHH,#8b4513,1,4,0.7001383862207149,m,m,True
training,neutral,HHHHH,blue,1,4,0.7001095223513403,z,z,True
training,neutral,HHHHH,red,1,4,0.6051653498852829,x,x,True
training,neutral,HHHHH,blue,1,4,0.7001146537058958,z,z,True
training,neutral,HHHHH,#8b4513,1,4,0.5500597321752139,m,m,True
training,neutral,HHHHH,green,1,4,1.3333010485603154,n,n,True
training,neutral,HHHHH,green,1,4,0.766672172181643,n,n,True
training,neutral,HHHHH,red,1,4,0.7167306215196732,x,x,True
training,neutral,HHHHH,red,1,4,0.6001058341898897,x,x,True
training,neutral,HHHHH,red,1,4,0.5834456084412523,x,x,True
training,neutral,HHHHH,#8b4513,1,4,0.6167474587764445,m,m,True
training,neutral,HHHHH,red,1,4,0.5835081468267163,x,x,True
training,neutral,HHHHH,green,1,4,0.8667069691800862,n,n,True
training,congruent,BRAZOWY,#8b4513,1,4,0.8999812384845427,m,m,True
training,incongruent,ZIELONY,blue,1,4,1.3499635192747519,z,z,True
training,incongruent,ZIELONY,red,1,4,0.9000123473215353,x,x,True
training,congruent,BRAZOWY,#8b4513,1,4,0.5168104782260343,m,m,True
training,congruent,CZERWONY,red,1,4,0.7667635744364816,x,z,False
training,incongruent,CZERWONY,#8b4513,1,4,1.5499757062425488,m,m,True
training,incongruent,CZERWONY,#8b4513,1,4,0.9000533981597982,m,m,True
training,incongruent,ZIELONY,blue,1,4,1.016730140456275,z,z,True
training,congruent,NIEBIESKI,blue,1,4,0.9717903777473111,z,z,True
training,incongruent,BRAZOWY,blue,1,4,0.7666894905050867,z,z,True
training,incongruent,ZIELONY,blue,1,4,0.7500982173351076,z,z,True
training,incongruent,CZERWONY,green,1,4,1.1666971875365562,n,n,True
training,congruent,ZIELONY,green,1,4,0.8498681081491668,n,n,True
