EXP,TRIAL_TYPE,TEXT,COLOR,WAIT,RESPTIME,RT,TRUE_KEY,ANSWER,CORR
training,neutral,HHHHH,green,1,4,1.8999263971318214,n,n,True
training,neutral,HHHHH,green,1,4,2.2498411685373867,n,n,True
training,neutral,HHHHH,blue,1,4,1.1833708830909018,z,z,True
training,neutral,HHHHH,blue,1,4,1.0833537251228336,z,z,True
training,neutral,HHHHH,red,1,4,0.8667573205993904,x,x,True
training,neutral,HHHHH,red,1,4,0.8667130626645303,x,x,True
training,neutral,HHHHH,red,1,4,0.683414980669113,x,x,True
training,neutral,HHHHH,#8b4513,1,4,1.0833732884120764,m,m,True
training,neutral,HHHHH,blue,1,4,1.2499197424058366,z,z,True
training,neutral,HHHHH,blue,1,4,1.2666598248597438,z,z,True
training,neutral,HHHHH,blue,1,4,1.0167535522605249,z,z,True
training,neutral,HHHHH,green,1,4,0.8000580484495003,n,n,True
training,neutral,HHHHH,red,1,4,0.8834130564118823,x,x,True
training,neutral,HHHHH,green,1,4,0.9833317565107791,n,n,True
training,neutral,HHHHH,#8b4513,1,4,0.833391328331345,m,m,True
training,neutral,HHHHH,blue,1,4,0.883433902539764,z,z,True
training,neutral,HHHHH,green,1,4,0.7833987848307515,n,n,True
training,neutral,HHHHH,blue,1,4,0.8833752126711261,z,z,True
training,neutral,HHHHH,blue,1,4,0.7500664670787955,z,z,True
training,neutral,HHHHH,blue,1,4,0.6667380780190797,z,z,True
training,neutral,HHHHH,#8b4513,1,4,0.8833899653145636,m,m,True
training,neutral,HHHHH,red,1,4,0.8833495558974391,x,x,True
training,neutral,HHHHH,blue,1,4,0.8833825889932996,z,z,True
training,neutral,HHHHH,green,1,4,1.6832741891257683,n,n,True
training,neutral,HHHHH,red,1,4,0.9500141914022606,x,x,True
training,neutral,HHHHH,blue,1,4,0.7667302206318709,z,z,True
training,neutral,HHHHH,red,1,4,0.7834116132171403,x,x,True
training,neutral,HHHHH,green,1,4,1.5000027260321076,n,n,True
training,neutral,HHHHH,red,1,4,1.0833274269298272,x,x,True
training,neutral,HHHHH,#8b4513,1,4,0.8999905390646745,m,m,True
training,neutral,HHHHH,red,1,4,0.900072961449041,x,x,True
training,neutral,HHHHH,#8b4513,1,4,1.0167092943265743,m,m,True
training,neutral,HHHHH,red,1,4,0.8333643887190192,x,x,True
training,neutral,HHHHH,red,1,4,0.8667566791800709,x,x,True
training,neutral,HHHHH,green,1,4,1.199940989420611,n,n,True
training,neutral,HHHHH,#8b4513,1,4,0.8833716848648692,m,m,True
training,neutral,HHHHH,blue,1,4,3.1663665358710205,z,z,True
training,neutral,HHHHH,#8b4513,1,4,1.3166324843614348,m,m,True
training,neutral,HHHHH,red,1,4,0.8001321323827142,x,x,True
training,neutral,HHHHH,red,1,4,0.7167793693888598,x,x,True
training,congruent,ZIELONY,green,1,4,1.8165733134273978,n,n,True
training,incongruent,CZERWONY,#8b4513,1,4,1.2715105585639321,m,m,True
training,incongruent,BRAZOWY,blue,1,4,0.8500528369177118,z,z,True
training,congruent,NIEBIESKI,blue,1,4,1.0166672813602418,z,z,True
training,congruent,BRAZOWY,#8b4513,1,4,0.8499928642095256,m,m,True
training,congruent,NIEBIESKI,blue,1,4,0.5667587637926772,z,z,True
training,incongruent,NIEBIESKI,#8b4513,1,4,0.8500592511109062,m,m,True
training,congruent,CZERWONY,red,1,4,0.6219019045347522,x,x,True
training,incongruent,NIEBIESKI,#8b4513,1,4,0.5833295115426154,m,m,True
training,incongruent,BRAZOWY,blue,1,4,0.7500959723674896,z,z,True
training,congruent,ZIELONY,green,1,4,1.3332805231420934,n,n,True
training,congruent,BRAZOWY,#8b4513,1,4,0.6334163436858944,m,m,True
training,incongruent,BRAZOWY,red,1,4,0.8501038297526975,x,x,True
training,incongruent,NIEBIESKI,#8b4513,1,4,0.700114332996236,m,m,True
training,incongruent,ZIELONY,blue,1,4,1.0500143517583638,z,z,True
training,congruent,BRAZOWY,#8b4513,1,4,0.6168019794204156,m,m,True
training,incongruent,NIEBIESKI,#8b4513,1,4,0.7834292522511532,m,m,True
training,incongruent,CZERWONY,green,1,4,0.7333068213338265,n,n,True
training,congruent,CZERWONY,red,1,4,0.38345458831281576,x,x,True
training,congruent,ZIELONY,green,1,4,0.7500385653384001,n,n,True
training,incongruent,NIEBIESKI,#8b4513,1,4,0.6715394224338525,m,m,True
training,congruent,CZERWONY,red,1,4,0.8000246946448897,x,x,True
training,congruent,ZIELONY,green,1,4,0.9167703895182058,n,n,True
training,incongruent,NIEBIESKI,green,1,4,2.566546453994306,n,n,True
training,congruent,BRAZOWY,#8b4513,1,4,0.5167845007435972,m,m,True
training,incongruent,ZIELONY,blue,1,4,1.399986530193928,z,n,False
training,congruent,CZERWONY,red,1,4,0.8833367275092314,x,x,True
training,congruent,CZERWONY,red,1,4,1.516600413395281,x,x,True
training,incongruent,CZERWONY,green,1,4,1.7666850005680317,n,n,True
training,incongruent,ZIELONY,red,1,4,1.466546614348772,x,x,True
training,incongruent,ZIELONY,blue,1,4,0.6548554641703959,z,z,True
training,congruent,CZERWONY,red,1,4,0.7215252310325013,x,x,True
training,congruent,ZIELONY,green,1,4,0.7667404833409819,n,n,True
training,incongruent,BRAZOWY,blue,1,4,1.2499963920163282,z,z,True
training,congruent,NIEBIESKI,blue,1,4,0.716762692485645,z,z,True
training,congruent,CZERWONY,red,1,4,0.5717708144584321,x,x,True
training,congruent,CZERWONY,red,1,4,0.5334328602330061,x,x,True
training,incongruent,BRAZOWY,red,1,4,1.1217057905723777,x,x,True
training,incongruent,CZERWONY,#8b4513,1,4,0.6667541135029751,m,m,True
training,incongruent,ZIELONY,blue,1,4,0.7717547789761738,z,z,True
experiment,incongruent,CZERWONY,green,11,3,1.3833513198005676,n,n,True
experiment,incongruent,BRAZOWY,red,11,3,1.1499834032747458,x,m,False
experiment,incongruent,BRAZOWY,blue,11,3,0.6167939616789226,z,z,True
experiment,incongruent,NIEBIESKI,green,11,3,0.9664736528993672,n,n,True
experiment,incongruent,BRAZOWY,blue,11,3,0.4834332611208083,z,z,True
experiment,incongruent,NIEBIESKI,green,11,3,0.7501152149470727,n,n,True
experiment,congruent,BRAZOWY,#8b4513,11,3,0.8333085852373188,m,m,True
experiment,congruent,CZERWONY,red,11,3,0.7500270197888312,x,z,False
experiment,congruent,CZERWONY,red,11,3,0.7834353457328689,x,x,True
experiment,incongruent,CZERWONY,#8b4513,11,3,0.7500430552718171,m,m,True
experiment,congruent,ZIELONY,green,11,3,0.9333959786217747,n,n,True
experiment,incongruent,CZERWONY,#8b4513,11,3,0.6167570800680551,m,m,True
experiment,congruent,NIEBIESKI,blue,11,3,0.6834387131857511,z,z,True
experiment,incongruent,ZIELONY,blue,11,3,0.8334205129103793,z,n,False
experiment,congruent,ZIELONY,green,11,3,0.616750345163382,n,n,True
experiment,congruent,NIEBIESKI,blue,11,3,0.6001183418666187,z,z,True
experiment,congruent,NIEBIESKI,blue,11,3,0.6666790674407821,z,z,True
experiment,incongruent,ZIELONY,blue,11,3,1.0333377698170807,z,z,True
experiment,incongruent,BRAZOWY,red,11,3,1.1500337546931405,x,x,True
experiment,congruent,ZIELONY,green,11,3,0.6667095348584553,n,n,True
experiment,incongruent,CZERWONY,green,11,3,1.333463006942111,n,n,True
experiment,incongruent,ZIELONY,blue,11,3,0.7333693597192905,z,z,True
experiment,incongruent,BRAZOWY,blue,11,3,0.7667250892791344,z,z,True
experiment,incongruent,BRAZOWY,red,11,3,0.8050793996953871,x,z,False
experiment,incongruent,BRAZOWY,red,11,3,1.3667058466980961,x,x,True
experiment,incongruent,NIEBIESKI,#8b4513,11,3,0.9216211232214846,m,m,True
experiment,incongruent,ZIELONY,blue,11,3,1.000039767999624,z,z,True
experiment,congruent,ZIELONY,green,11,3,0.8500554025940801,n,n,True
experiment,congruent,NIEBIESKI,blue,11,3,0.9500738433998777,z,z,True
experiment,incongruent,BRAZOWY,red,11,3,1.0500223694998567,x,z,False
experiment,incongruent,BRAZOWY,red,11,3,1.4716555193335807,x,x,True
experiment,incongruent,BRAZOWY,blue,11,3,1.1331811031450343,z,z,True
experiment,incongruent,ZIELONY,blue,11,3,1.1667196372127364,z,z,True
experiment,incongruent,CZERWONY,green,11,3,1.0499989576928783,n,n,True
experiment,congruent,BRAZOWY,#8b4513,11,3,0.7214043234871497,m,m,True
experiment,incongruent,CZERWONY,green,11,3,1.0834383924757276,n,n,True
experiment,congruent,NIEBIESKI,blue,11,3,0.7334800045537122,z,z,True
experiment,congruent,CZERWONY,red,11,3,1.083355970091361,x,x,True
experiment,incongruent,CZERWONY,#8b4513,11,3,1.2000125076756376,m,m,True
experiment,incongruent,BRAZOWY,blue,11,3,0.883436147507382,z,z,True
experiment,congruent,ZIELONY,green,11,3,0.8501189031085232,n,n,True
experiment,congruent,ZIELONY,green,11,3,0.6167445723895071,n,n,True
experiment,incongruent,ZIELONY,red,11,3,1.0167003144561022,x,x,True
experiment,congruent,ZIELONY,green,11,3,0.8167054458099301,n,n,True
experiment,incongruent,BRAZOWY,red,11,3,1.3667247685680195,x,x,True
experiment,incongruent,NIEBIESKI,#8b4513,11,3,0.7168082332573249,m,m,True
experiment,congruent,ZIELONY,green,11,3,0.6667204389868857,n,n,True
experiment,incongruent,NIEBIESKI,#8b4513,11,3,1.0000198839989025,m,m,True
experiment,congruent,ZIELONY,green,11,3,0.8000917229655897,n,n,True
experiment,congruent,CZERWONY,red,11,3,1.0000028863869375,x,x,True
experiment,incongruent,BRAZOWY,red,11,3,0.9333719253954769,x,x,True
experiment,congruent,NIEBIESKI,blue,11,3,1.0334189093628083,z,z,True
experiment,congruent,BRAZOWY,#8b4513,11,3,0.6167387996156322,m,m,True
experiment,incongruent,ZIELONY,blue,11,3,1.0500326322089677,z,z,True
experiment,congruent,NIEBIESKI,blue,11,3,0.5667289377943234,z,z,True
experiment,congruent,BRAZOWY,#8b4513,11,3,0.5334242010721937,m,m,True
experiment,incongruent,ZIELONY,blue,11,3,0.9000238928711042,z,z,True
experiment,congruent,CZERWONY,red,11,3,0.9000505117728608,x,x,True
experiment,incongruent,ZIELONY,red,11,3,1.6833367275103228,x,x,True
experiment,incongruent,BRAZOWY,blue,11,3,0.9668193779198191,z,z,True
experiment,congruent,ZIELONY,green,11,3,0.8000182804516953,n,n,True
experiment,incongruent,CZERWONY,#8b4513,11,3,0.8167336682618043,m,m,True
experiment,congruent,NIEBIESKI,blue,11,3,1.516639219264107,z,z,True
experiment,congruent,CZERWONY,red,11,3,0.4835134385357378,x,x,True
experiment,incongruent,CZERWONY,#8b4513,11,3,1.333473269649403,m,m,True
experiment,incongruent,NIEBIESKI,#8b4513,11,3,0.9500244541122811,m,m,True
experiment,incongruent,CZERWONY,green,11,3,1.4051268647272082,n,n,True
experiment,congruent,ZIELONY,green,11,3,0.6167532315503195,n,n,True
experiment,congruent,NIEBIESKI,blue,11,3,0.8667348709223006,z,z,True
experiment,incongruent,BRAZOWY,red,11,3,1.6716898352678982,x,x,True
experiment,congruent,BRAZOWY,#8b4513,11,3,0.8500390464014345,m,m,True
experiment,congruent,BRAZOWY,#8b4513,11,3,0.66678265666269,m,m,True
experiment,incongruent,NIEBIESKI,green,11,3,0.8716189584301901,n,z,False
experiment,incongruent,CZERWONY,#8b4513,11,3,0.9666712100533914,m,m,True
experiment,incongruent,NIEBIESKI,green,11,3,1.0832876589320222,n,n,True
experiment,incongruent,ZIELONY,blue,11,3,1.2333364869791694,z,z,True
experiment,congruent,CZERWONY,red,11,3,0.9499962316622259,x,x,True
experiment,congruent,ZIELONY,green,11,3,0.9000110644828965,n,n,True
experiment,incongruent,CZERWONY,green,11,3,1.8212383562349714,n,n,True
experiment,congruent,BRAZOWY,#8b4513,11,3,0.5334270874591311,m,m,True
experiment,congruent,CZERWONY,red,11,3,0.3001204264783155,x,x,True
experiment,incongruent,BRAZOWY,red,11,3,0.5667571602443786,x,x,True
experiment,incongruent,CZERWONY,green,11,3,0.6667210804062051,n,n,True
experiment,incongruent,BRAZOWY,blue,11,3,0.8168263533534628,z,z,True
experiment,incongruent,NIEBIESKI,green,11,3,0.721521061805106,n,n,True
experiment,congruent,NIEBIESKI,blue,11,3,0.3334543477794796,z,z,True
experiment,congruent,NIEBIESKI,blue,11,3,0.6500483469808387,z,z,True
experiment,congruent,ZIELONY,green,11,3,0.48342524337931536,n,n,True
experiment,incongruent,NIEBIESKI,#8b4513,11,3,0.6000904401244043,m,m,True
experiment,congruent,CZERWONY,red,11,3,1.050025576596454,x,x,True
experiment,incongruent,ZIELONY,blue,11,3,0.933343382235762,z,z,True
experiment,congruent,NIEBIESKI,blue,11,3,0.5001185022229038,z,z,True
experiment,incongruent,CZERWONY,green,11,3,0.8499123660840269,n,n,True
experiment,incongruent,ZIELONY,blue,11,3,0.7333680768806516,z,z,True
experiment,congruent,BRAZOWY,#8b4513,11,3,0.9500276612088783,m,m,True
experiment,congruent,CZERWONY,red,11,3,0.5334735903616092,x,x,True
experiment,congruent,ZIELONY,green,11,3,0.6667409644069267,n,n,True
experiment,congruent,BRAZOWY,#8b4513,11,3,0.6999033060365036,m,m,True
experiment,congruent,BRAZOWY,#8b4513,11,3,0.5334197111369576,m,m,True
experiment,congruent,CZERWONY,red,11,3,0.5667757614046423,x,x,True
experiment,incongruent,BRAZOWY,red,11,3,1.2334554702647438,x,x,True
experiment,congruent,ZIELONY,green,11,3,0.5334036756539717,n,n,True
experiment,incongruent,BRAZOWY,blue,11,3,0.4667579620181641,z,x,False
experiment,congruent,ZIELONY,green,11,3,0.5500889167560672,n,n,True
experiment,congruent,BRAZOWY,#8b4513,11,3,0.7718718380019709,m,m,True
experiment,incongruent,CZERWONY,#8b4513,11,3,1.1500453002408904,m,m,True
experiment,congruent,BRAZOWY,#8b4513,11,3,0.6831776555154647,m,m,True
experiment,congruent,ZIELONY,green,11,3,0.48330209086816467,n,n,True
